Абдалієва вулиця	вулиця Абдалієва
Шпудейка вулиця	вулиця Шпудейка
Штефаника вулиця	вулиця Штефаника
Штронд вулиця	вулиця Штронд
Шугар вулиця	вулиця Шугар
Шуліко вулиця	вулиця Шуліко
Шульгіних вулиця	вулиця Шульгіних
Шумейко вулиця	вулиця Шумейко
Шумлявщина вулиця	вулиця Шумлявщина
Шумлянських вулиця	вулиця Шумлянських
Шунделевих вулиця	вулиця Шунделевих
Шутуство вулиця	вулиця Шутуство
Шутько вулиця	вулиця Шутько
Шухевичів вулиця	вулиця Шухевичів
Щастя вулиця	вулиця Щастя
Щебетунів вулиця	вулиця Щебетунів
Щедра вулиця	Щедра вулиця
Щербініних вулиця	вулиця Щербініних
Щєрбака вулиця	вулиця Щєрбака
Щимель вулиця	вулиця Щимель
Южина вулиця	вулиця Южина
Юзикевичів вулиця	вулиця Юзикевичів
Юність вулиця	вулиця Юність
Юннатів вулиця	вулиця Юннатів
Юона вулиця	вулиця Юона
Юр’єва вулиця	вулиця Юрʼєва
Юрдига вулиця	вулиця Юрдига
Юрдика вулиця	вулиця Юрдика
Юрковиця вулиця	вулиця Юрковиця
Юрчинських вулиця	вулиця Юрчинських
Юстиції вулиця	вулиця Юстиції
Юхимука вулиця	вулиця Юхимука
Яблонєвая вулиця	Яблонєвая вулиця
Яблочкіної вулиця	вулиця Яблочкіної
Яблуново вулиця	вулиця Яблуново
Яворів вулиця	вулиця Яворів
Яківчика вулиця	вулиця Яківчика
Якіра вулиця	вулиця Якіра
Ялинка вулиця	вулиця Ялинка
Яловець вулиця	вулиця Яловець
Яндюків вулиця	вулиця Яндюків
Яноніса вулиця	вулиця Яноніса
Яр вулиця	вулиця Яр
Яржина вулиця	вулиця Яржина
Ярі вулиця	вулиця Ярі
Ярмошука вулиця	вулиця Ярмошука
Ярмуша вулиця	вулиця Ярмуша
Яровиця вулиця	вулиця Яровиця
Ярославів Вал вулиця	вулиця Ярославів Вал
Ярошка вулиця	вулиця Ярошка
Яршиця вулиця	вулиця Яршиця
Ясеничче вулиця	вулиця Ясеничче
Ясенів вулиця	вулиця Ясенів
Яскрава вулиця	Яскрава вулиця
Ятрань вулиця	вулиця Ятрань
Яцьківа вулиця	вулиця Яцьківа
Bohuna вулиця	вулиця Богуна
Cвітла вулиця	Світла вулиця
Cемена Гризла вулиця	вулиця Семена Гризла
I Лиман вулиця	вулиця I Лиман
II Лиман вулиця	вулиця II Лиман
III Інтернаціоналу вулиця	вулиця III Інтернаціоналу
III Лиман вулиця	вулиця III Лиман
Kам'яниста вулиця	Камʼяниста вулиця
